series_title,runtime,genre,rating,release_year,end_year,duration,cast,synopsis
Joseph the Prophet,55,Drama,7.5,2008,2009,1,"Mostafa Zamani, Katayoun Riahi, Mojtaba Makhdoumi, Mohammad Safari","This story basically follows the most important happenings in Prophet Josephs life, from the view of muslims. The most important happenings are: 1. his travel to egypt 2. his rise and ...                See full summary »"
Joseph the Prophet,55,History,7.5,2008,2009,1,"Mostafa Zamani, Katayoun Riahi, Mojtaba Makhdoumi, Mohammad Safari","This story basically follows the most important happenings in Prophet Josephs life, from the view of muslims. The most important happenings are: 1. his travel to egypt 2. his rise and ...                See full summary »"
The World's Most Extraordinary Homes,59,Documentary,7.5,2017,2018,1,"Caroline Quentin, Piers Taylor, David Hertz, Eduardo Arroyo",A celebration of extraordinary residential architecture from around the world with insight from an accomplished architect and his enthusiastic co-host.
Uchu Senkan Yamato 2199,,Animation,8.1,2012,2013,1,"Mallorie Rodak, Monica Rial, Jamie Marchi, Ricco Fajardo","In the year 2199, the space battleship Yamato embarks on a voyage to the planet Iscandar, to retrieve a device that will rejuvenate a war-ravaged Earth."
Uchu Senkan Yamato 2199,,Action,8.1,2012,2013,1,"Mallorie Rodak, Monica Rial, Jamie Marchi, Ricco Fajardo","In the year 2199, the space battleship Yamato embarks on a voyage to the planet Iscandar, to retrieve a device that will rejuvenate a war-ravaged Earth."
Uchu Senkan Yamato 2199,,Adventure,8.1,2012,2013,1,"Mallorie Rodak, Monica Rial, Jamie Marchi, Ricco Fajardo","In the year 2199, the space battleship Yamato embarks on a voyage to the planet Iscandar, to retrieve a device that will rejuvenate a war-ravaged Earth."
Warrior Baek Dong-soo,65,Action,7.9,2011,2011,0,"Hyeon-bin Shin, Ji-ru Sung, Jun Gyu Park, Ji Chang-Wook","Childhood friends Baek Dong Soo and Yeo Woon are both prodigies in combat. But while Baek Dong Soo became the top swordsman in the land, Yeo Woon would go on to serve a group of clandestine assassins whose aim is to overthrow the throne."
#LikeMe,,Drama,8.0,2019,2023,4,"Pommelien Thijs, Maksim Stojanac, Camille Dhont, Francisco Schuster","Musical drama filled with singing and dancing, in which a teenage girl moves to a new school and tries to fit in."
#LikeMe,,Musical,8.0,2019,2023,4,"Pommelien Thijs, Maksim Stojanac, Camille Dhont, Francisco Schuster","Musical drama filled with singing and dancing, in which a teenage girl moves to a new school and tries to fit in."
#LikeMe,,Romance,8.0,2019,2023,4,"Pommelien Thijs, Maksim Stojanac, Camille Dhont, Francisco Schuster","Musical drama filled with singing and dancing, in which a teenage girl moves to a new school and tries to fit in."
The Weekenders,15,Animation,8.0,2000,2004,4,"Kath Soucie, Grey Griffin, Jason Marsden, Phil LaMarr",The humorous Friday through Sunday misadventures of four best friends.
The Weekenders,15,Comedy,8.0,2000,2004,4,"Kath Soucie, Grey Griffin, Jason Marsden, Phil LaMarr",The humorous Friday through Sunday misadventures of four best friends.
