series_title,runtime,genre,rating,release_year,end_year,duration,cast,synopsis
Rabbids Invasion,21,Animation,5.4,2013,2019,6,"Bill Farmer, Sam Vincent, Ben Bocquelet, Mic Graves","The Rabbids from Ubisoft's ""Raving Rabbids"" video game series star in their own television series."
Rabbids Invasion,21,Comedy,5.4,2013,2019,6,"Bill Farmer, Sam Vincent, Ben Bocquelet, Mic Graves","The Rabbids from Ubisoft's ""Raving Rabbids"" video game series star in their own television series."
Rabbids Invasion,21,Family,5.4,2013,2019,6,"Bill Farmer, Sam Vincent, Ben Bocquelet, Mic Graves","The Rabbids from Ubisoft's ""Raving Rabbids"" video game series star in their own television series."
Romance,,Drama,6.8,2020,2020,0,"Pierre Deladonchamps, Olga Kurylenko, Pierre Perrier, Barbara Schulz",The story of the meeting of two people who never should have met. A passionate love story that twists the hands of fate and changes lives.
Romance,,Fantasy,6.8,2020,2020,0,"Pierre Deladonchamps, Olga Kurylenko, Pierre Perrier, Barbara Schulz",The story of the meeting of two people who never should have met. A passionate love story that twists the hands of fate and changes lives.
Romance,,Romance,6.8,2020,2020,0,"Pierre Deladonchamps, Olga Kurylenko, Pierre Perrier, Barbara Schulz",The story of the meeting of two people who never should have met. A passionate love story that twists the hands of fate and changes lives.
The Jake Effect,30,Comedy,7.1,2003,2006,3,"Jason Bateman, Greg Grunberg, Leslie Grossman, Kyle Gass","Well-paid lawyer Jake Galvin, disillusioned by the unethical cases he defends, changes careers and becomes a teacher at a Chicago-area high school. Roommate attorney Nick is his sounding-board about his new experiences."
Blue Demon,46,Action,7.6,2016,2017,1,"Tenoch Huerta, Ana Brenda Contreras, Ianis Guerrero, Alejandro de Marino","The fictionalized life story of Mexican wrestler ""Blue Demon."""
Blue Demon,46,Adventure,7.6,2016,2017,1,"Tenoch Huerta, Ana Brenda Contreras, Ianis Guerrero, Alejandro de Marino","The fictionalized life story of Mexican wrestler ""Blue Demon."""
Blue Demon,46,Biography,7.6,2016,2017,1,"Tenoch Huerta, Ana Brenda Contreras, Ianis Guerrero, Alejandro de Marino","The fictionalized life story of Mexican wrestler ""Blue Demon."""
Asi,90,Drama,6.5,2007,2009,2,"Tuba Büyüküstün, Murat Yildirim, Çetin Tekindor, Nur Sürer","""Asi"" tells the love story of Asiye 'Asi' Kozcuoglu and Demir Dogan, who after years of absence returns to his hometown Antakya. For three generations the Kozcuoglu family owns a prominent ...                See full summary »"
Asi,90,Romance,6.5,2007,2009,2,"Tuba Büyüküstün, Murat Yildirim, Çetin Tekindor, Nur Sürer","""Asi"" tells the love story of Asiye 'Asi' Kozcuoglu and Demir Dogan, who after years of absence returns to his hometown Antakya. For three generations the Kozcuoglu family owns a prominent ...                See full summary »"
Tatli Küçük Yalancilar,120,Drama,6.0,2015,2015,0,"Sükrü Özyildiz, Büsra Develi, Alperen Duymaz, Burak Deniz",Turkish remake of Pretty Little Liars.
Tatli Küçük Yalancilar,120,Mystery,6.0,2015,2015,0,"Sükrü Özyildiz, Büsra Develi, Alperen Duymaz, Burak Deniz",Turkish remake of Pretty Little Liars.
Tatli Küçük Yalancilar,120,Thriller,6.0,2015,2015,0,"Sükrü Özyildiz, Büsra Develi, Alperen Duymaz, Burak Deniz",Turkish remake of Pretty Little Liars.
Senran Kagura,25,Animation,6.1,2013,2013,0,"Hitomi Harada, Asami Imai, Kaori Mizuhashi, Yuka Iguchi","5 girls with abnormally sized breasts try to battle another group of girls who hate them for, reasons."
Senran Kagura,25,Action,6.1,2013,2013,0,"Hitomi Harada, Asami Imai, Kaori Mizuhashi, Yuka Iguchi","5 girls with abnormally sized breasts try to battle another group of girls who hate them for, reasons."
Senran Kagura,25,Comedy,6.1,2013,2013,0,"Hitomi Harada, Asami Imai, Kaori Mizuhashi, Yuka Iguchi","5 girls with abnormally sized breasts try to battle another group of girls who hate them for, reasons."
